,school_name,school_type,addr
0,상명대학교사범대학부속초등학교,사립,서울특별시 종로구 홍지문2길 1 . 상명사대부속초등학교 (홍지동.상명초등학교)
1,서울교동초등학교,공립,서울특별시 종로구 삼일대로 446 (경운동)
2,서울대학교사범대학부설초등학교,국립,서울특별시 종로구 대학로 64 (동숭동.서울사대부설초등학교)
3,서울독립문초등학교,공립,서울특별시 종로구 통일로12길 23 (무악동. 독립문초등학교)
4,서울매동초등학교,공립,서울특별시 종로구 사직로9길 19 . 서울매동초등학교 (필운동)
5,서울명신초등학교,공립,서울특별시 종로구 낙산길 250 (창신동)
6,서울세검정초등학교,공립,서울특별시 종로구 세검정로9길 1 (신영동.서울세검정초등학교)
7,서울재동초등학교,공립,서울특별시 종로구 북촌로4길 7 . 서울재동초등학교 (가회동)
8,서울창신초등학교,공립,서울특별시 종로구 지봉로 73 . 서울창신초등학교 (창신동)
9,서울청운초등학교,공립,서울특별시 종로구 자하문로 105 . 청운초등학교 (청운동)
10,서울혜화초등학교,공립,서울특별시 종로구 혜화로 32 . 서울혜화초등학교 (혜화동)
11,서울효제초등학교,공립,서울특별시 종로구 대학로 12 . 서울효제초등학교 (효제동)
12,운현초등학교,사립,서울특별시 종로구 삼일대로 460 . (운니동. 운현초등학교 (운니동)
13,동산초등학교,사립,서울특별시 중구 매봉18길 109 동산초등학교 (신당동)
14,리라초등학교,사립,서울특별시 중구 소파로2길 7 (예장동)
15,서울광희초등학교,공립,서울특별시 중구 다산로 269 . 서울광희초등학교 (신당동)
16,서울남산초등학교,공립,서울특별시 중구 퇴계로22길 17 서울남산초등학교 (남산동2가)
17,서울덕수초등학교,공립,서울특별시 중구 덕수궁길 140 서울덕수초등학교 (정동)
18,서울봉래초등학교,공립,서울특별시 중구 손기정로 73 (만리동2가)
19,서울신당초등학교,공립,서울특별시 중구 난계로 141 (신당동)
20,서울장충초등학교,공립,서울특별시 중구 청구로17길 40 . 서울장충초등학교 (신당동)
21,서울청구초등학교,공립,서울특별시 중구 다산로 170 (신당동.청구초등학교)
22,서울충무초등학교,공립,서울특별시 중구 퇴계로50길 13 (장충동2가.충무초등학교)
23,서울흥인초등학교,공립,서울특별시 중구 청구로6길 11 (신당동.흥인초등학교)
24,숭의초등학교,사립,서울특별시 중구 소파로2길 10 (예장동.숭의여자대학)
25,서울금양초등학교,공립,서울특별시 용산구 효창원로 137 . 서울금양초등학교 (효창동)
26,서울남정초등학교,공립,서울특별시 용산구 원효로64길 17-10 서울남정초등학교 (원효로2가)
27,서울보광초등학교,공립,서울특별시 용산구 우사단로 20 (이태원동.보광초등학교)
28,서울삼광초등학교,공립,서울특별시 용산구 두텁바위로1나길 19 . 서울삼광초등학교 (후암동)
29,서울서빙고초등학교,공립,서울특별시 용산구 서빙고로51길 14 . 서울서빙고초등학교 (서빙고동)
30,서울신용산초등학교,공립,서울특별시 용산구 이촌로 255 . 301-75번지 (이촌동)
31,서울용산초등학교,공립,서울 용산구 한강대로57길 33 (한강로2가.용산초등학교)
32,서울용암초등학교,공립,서울특별시 용산구 녹사평대로60길 39 (용산동2가. 용암초등학교)
33,서울원효초등학교,공립,서울특별시 용산구 효창원로13길 38 . 서울원효초등학교 (산천동.원효초등학교)
34,서울이태원초등학교,공립,서울특별시 용산구 녹사평대로40길 19 (이태원동.이태원초등학교)
35,서울청파초등학교,공립,서울특별시 용산구 효창원로 228 . 서울청파초등학교 (청파동2가)
36,서울한강초등학교,공립,서울특별시 용산구 한강대로14길 9 (한강로3가. 한강초등학교)
37,서울한남초등학교,공립,서울특별시 용산구 한남대로 112 . 서울한남초등학교 (한남동)
38,서울후암초등학교,공립,서울특별시 용산구 두텁바위로 140 . 서울후암초등학교 (후암동)
39,신광초등학교,사립,서울특별시 용산구 청파로 263 . 신광초등학교 청파동 3가 100 (청파동3가)
40,서울경동초등학교,공립,서울특별시 성동구 성수일로 34 (성수동1가.경동초등학교)
41,서울경수초등학교,공립,서울특별시 성동구 뚝섬로13길 22 (성수동2가.경수초등학교)
42,서울경일초등학교,공립,서울특별시 성동구 뚝섬로 332 (성수동1가)
43,서울금북초등학교,공립,서울특별시 성동구 행당로1길 13 . 서울금북초등학교 (금호동1가)
44,서울금옥초등학교,공립,서울특별시 성동구 독서당로 251 (금호동4가. 서울금옥초등학교)
45,서울금호초등학교,공립,서울특별시 성동구 무수막길 69 . 서울금호초등학교 (금호동2가)
46,서울동명초등학교,공립,서울특별시 성동구 마장로29길 29 . 서울동명초등학교 (마장동)
47,서울동호초등학교,공립,서울특별시 성동구 동호로5길 133 . 서울동호초등학교 (옥수동. 동호초등학교)
48,서울마장초등학교,공립,서울특별시 성동구 마장로35나길 31 . 서울마장초등학교 (마장동)
49,서울무학초등학교,공립,서울특별시 성동구 무학봉15길 21 . 무학봉15길 21 (하왕십리동. 무학초등학교)
50,서울사근초등학교,공립,서울특별시 성동구 사근동11길 16 (사근동. 사근초등학교)
51,서울성수초등학교,공립,서울특별시 성동구 아차산로17길 21 (성수동2가)
52,서울송원초등학교,공립,서울특별시 성동구 동일로43길 9 (송정동)
53,서울숭신초등학교,공립,서울특별시 성동구 마장로 161 (하왕십리동)
54,서울옥수초등학교,공립,서울특별시 성동구 금호로1길 25 . 옥수초등학교 (금호동4가)
55,서울옥정초등학교,공립,서울특별시 성동구 한림말길 43 (옥수동.옥정초등학교)
56,서울용답초등학교,공립,서울특별시 성동구 용답25길 1 . 용답초등학교
57,서울응봉초등학교,공립,서울특별시 성동구 독서당로62길 28 (응봉동. 응봉초등학교)
58,서울행당초등학교,공립,서울특별시 성동구 고산자로8길 6 . 서울행당초등학교 (행당동)
59,서울행현초등학교,공립,서울특별시 성동구 행당로 95 (행당동)
60,한양초등학교,사립,서울특별시 성동구 살곶이길 208 . 한양초등학교 (사근동.한양초등학교)
61,경복초등학교,사립,서울특별시 광진구 천호대로130길 58 . 경복초등학교 (능동)
62,서울광남초등학교,공립,서울특별시 광진구 아차산로70길 35 (광장동. 서울광남초등학교)
63,서울광장초등학교,공립,서울특별시 광진구 광장로1길 27 . 서울광장초등학교 (광장동)
64,서울광진초등학교,공립,서울특별시 광진구 자양로40길 41 . 서울광진초등학교 (구의동)
65,서울구남초등학교,공립,서울특별시 광진구 구의강변로 69 . 서울구남초등학교 (구의동)
66,서울구의초등학교,공립,서울특별시 광진구 광나루로30길 49 . 서울구의초등학교 (화양동)
67,서울동의초등학교,공립,서울특별시 광진구 영화사로 111 (구의동.서울동의초등학교)
68,서울동자초등학교,공립,서울특별시 광진구 뚝섬로 561 (자양동)
69,서울성자초등학교,공립,서울특별시 광진구 뚝섬로56길 7 . 서울성자초등학교 (자양동)
70,서울신양초등학교,공립,서울특별시 광진구 능동로 42 . 신양초등학교 (자양동)
71,서울신자초등학교,공립,서울특별시 광진구 뚝섬로46길 64 . 서울신자초등학교 (자양동)
72,서울양남초등학교,공립,서울특별시 광진구 뚝섬로64길 71 . (자양동. 서울양남초등학교)
73,서울양진초등학교,공립,서울특별시 광진구 워커힐로 32 (광장동.양진초중학교)
74,서울용곡초등학교,공립,서울특별시 광진구 용마산로22길 82 . 서울용곡초등학교 (중곡동)
75,서울용마초등학교,공립,서울특별시 광진구 천호대로113길 10 (중곡동)
76,서울자양초등학교,공립,서울특별시 광진구 아차산로44길 26 (자양동)
77,서울장안초등학교,공립,서울특별시 광진구 군자로 74 (군자동)
78,서울중광초등학교,공립,서울특별시 광진구 긴고랑로13길 59 (중곡동.중광초등학교)
79,서울중마초등학교,공립,서울특별시 광진구 동일로72길 43 (중곡동. 서울중마초등학교)
80,서울화양초등학교,공립,서울특별시 광진구 군자로 9 (화양동)
81,성동초등학교,사립,서울특별시 광진구 자양로4길 63 (자양동)
82,세종초등학교,사립,서울특별시 광진구 군자로 114 (군자동. 세종초등학교)
83,경희초등학교,사립,서울특별시 동대문구 경희대로 26 . 경희초등학교 (회기동. 경희대학교)
84,서울군자초등학교,공립,서울특별시 동대문구 한천로6길 21 . 서울군자초등학교 (장안동)
85,서울답십리초등학교,공립,서울특별시 동대문구 전농로3길 23 . 서울답십리초등학교 (답십리동)
86,서울동답초등학교,공립,서울특별시 동대문구 답십리로60길 12 (답십리동.서울동답초등학교)
87,서울배봉초등학교,공립,서울특별시 동대문구 사가정로 193 (전농동. 서울배봉초등학교)
88,서울삼육초등학교,사립,서울특별시 동대문구 회기로10길 63 (회기동.서울삼육초등학교)
89,서울신답초등학교,공립,서울특별시 동대문구 천호대로 177 (답십리동.서울신답초등학교)
90,서울안평초등학교,공립,서울특별시 동대문구 장한로14길 61 . 서울안평초등학교 (장안동)
91,서울용두초등학교,공립,서울특별시 동대문구 천호대로13길 43 (용두동. 서울용두초등학교)
92,서울이문초등학교,공립,서울특별시 동대문구 신이문로 16 (이문동. 서울이문초등학교)
93,서울장평초등학교,공립,서울특별시 동대문구 답십리로69길 27 (장안동. 서울장평초등학교)
94,서울전곡초등학교,공립,서울특별시 동대문구 전농로 172 (전농동)
95,서울전농초등학교,공립,서울특별시 동대문구 사가정로 66 . 서울전농초등학교 (전농동)
96,서울전동초등학교,공립,서울특별시 동대문구 전농로16길 61 . 서울전동초등학교 (전농동)
97,서울종암초등학교,공립,서울특별시 동대문구 무학로44길 25 (제기동)
98,서울청량초등학교,공립,서울특별시 동대문구 회기로25길 31 (회기동.서울청량초등학교)
99,서울홍릉초등학교,공립,서울특별시 동대문구 회기로 90 (청량리동)
100,서울홍파초등학교,공립,서울특별시 동대문구 고산자로 518 (제기동)
101,서울휘경초등학교,공립,서울특별시 동대문구 망우로6길 48 (휘경동. 서울휘경초등학교)
102,서울휘봉초등학교,공립,서울특별시 동대문구 장안벚꽃로 309 (휘경동.서울휘봉초등학교)
103,은석초등학교,사립,서울특별시 동대문구 장안벚꽃로 205 (장안동. 은석초등학교)
104,금성초등학교,사립,서울특별시 중랑구 신내로21길 55 . 금성초등학교 (신내동)
105,서울동원초등학교,공립,서울특별시 중랑구 송림길 114 . 서울동원초등학교 (망우동)
106,서울망우초등학교,공립,서울특별시 중랑구 망우로72길 49 . 서울망우초등학교 (망우동)
107,서울면남초등학교,공립,서울특별시 중랑구 면목로30나길 38 (면목동.면남초등학교)
108,서울면동초등학교,공립,서울특별시 중랑구 면목로57길 32 . 서울면동초등학교 (면목동. 면동초등학교)
109,서울면목초등학교,공립,서울특별시 중랑구 면목로 434 (면목동)
110,서울면북초등학교,공립,서울특별시 중랑구 용마공원로5길 32 . 서울면북초등학교 (망우동)
111,서울면일초등학교,공립,서울특별시 중랑구 용마산로100길 13 . 면일초등학교 (망우동)
112,서울면중초등학교,공립,서울특별시 중랑구 용마산로70길 43 . 서울면중초등학교 (면목동)
113,서울묵동초등학교,공립,서울특별시 중랑구 동일로138길 27 . 서울묵동초등학교 (중화동)
114,서울묵현초등학교,공립,서울특별시 중랑구 동일로157길 75 서울묵현초등학교
115,서울봉화초등학교,공립,서울특별시 중랑구 신내로15길 110 (신내동.봉화초등학교)
116,서울상봉초등학교,공립,서울특별시 중랑구 동일로126가길 11 . 서울상봉초등학교 (상봉동)
117,서울새솔초등학교,공립,서울특별시 중랑구 신내역로1길 164 (신내동.서울새솔초등학교)
118,서울신내초등학교,공립,서울특별시 중랑구 용마산로125나길 22 (신내동.신내초등학교)
119,서울신묵초등학교,공립,서울특별시 중랑구 동일로149길 46 (묵동.신묵초등학교)
120,서울신현초등학교,공립,서울특별시 중랑구 봉화산로 188 (신내동)
121,서울원묵초등학교,공립,서울특별시 중랑구 숙선옹주로 109 . 서울원묵초등학교 (묵동)
122,서울중곡초등학교,공립,서울특별시 중랑구 면목로23길 20 (면목동.중곡초등학교)
123,서울중랑초등학교,공립,서울특별시 중랑구 봉우재로6길 26 (면목동.중랑초등학교)
124,서울중목초등학교,공립,서울특별시 중랑구 동일로 665 . 서울중목초등학교 (면목동)
125,서울중화초등학교,공립,서울특별시 중랑구 신내로7가길 22 . 서울중화초등학교 (신내동)
126,서울중흥초등학교,공립,서울특별시 중랑구 봉화산로 82 . 서울중흥초등학교 (중화동)
127,광운초등학교,사립,서울특별시 성북구 한천로 694 (장위동. 광운초등학교)
128,대광초등학교,사립,서울특별시 성북구 안암로 5 (보문동7가.대광초등학교)
129,매원초등학교,사립,서울특별시 성북구 북악산로 870 (돈암동)
130,서울개운초등학교,공립,서울특별시 성북구 정릉로48길 52 (돈암동.서울개운초등학교)
131,서울길원초등학교,공립,서울특별시 성북구 길음로15길 55 . 서울길원초등학교 (길음동)
132,서울길음초등학교,공립,서울특별시 성북구 길음로 142 (길음동.서울길음초등학교)
133,서울돈암초등학교,공립,서울특별시 성북구 동소문로13길 38 (동소문동6가.서울돈암초등학교)
134,서울동신초등학교,공립,서울특별시 성북구 보문사길 50 (보문동3가.서울동신초등학교)
135,서울미아초등학교,공립,서울특별시 성북구 삼양로 77 (길음동. 서울미아초등학교)
136,서울삼선초등학교,공립,서울특별시 성북구 보문로29길 106 (삼선동3가.서울삼선초등학교)
137,서울석계초등학교,공립,서울특별시 성북구 한천로58길 273 (석관동)
