,addr_gu,hospital_num,mart_num,department_num,shopping_center_num,shops_total,elementary_num,high_num,middle_num,stud_per_elementary,stud_per_middle,stud_per_high
0,강남구,70,1,6,3,10,33,22,24,785,650,811
1,강동구,33,3,1,0,4,29,14,19,763,559,783
2,강북구,17,1,1,2,4,14,7,13,708,472,764
3,강서구,36,3,1,1,5,35,23,22,745,486,652
4,관악구,19,1,1,1,3,22,17,16,655,445,540
5,광진구,13,2,1,0,3,22,9,12,648,611,820
6,구로구,21,3,2,1,6,26,14,14,699,573,656
7,금천구,14,3,0,7,10,18,6,9,463,453,681
8,노원구,22,2,2,1,5,42,25,26,615,585,801
9,도봉구,18,2,0,0,2,23,10,13,632,507,653
10,동대문구,31,2,1,0,3,21,11,15,627,431,629
11,동작구,13,0,1,0,1,21,7,16,741,482,843
12,마포구,13,3,0,1,4,22,9,14,653,534,664
13,서초구,28,4,2,0,6,24,11,16,945,694,891
14,성동구,11,2,0,0,2,21,9,11,523,442,510
15,성북구,15,3,1,0,4,29,13,18,693,529,636
16,송파구,41,4,2,3,9,40,19,29,784,582,765
17,양천구,16,1,1,1,3,30,15,19,800,830,823
18,영등포구,31,5,3,2,10,23,9,12,589,538,652
19,용산구,3,2,1,3,6,15,10,9,458,390,547
20,은평구,24,2,0,4,6,30,18,18,658,569,703
21,중구,11,2,3,8,13,12,11,8,416,231,612
22,중랑구,20,6,0,0,6,23,10,14,633,475,615
23,서대문구,14,0,1,0,1,19,7,14,684,433,728
24,종로구,10,0,0,0,0,13,14,9,399,310,605
