,addr_gu,elementary_num,high_num,middle_num,stud_per_elementary,stud_per_middle,stud_per_high,s_high_num,middle_to_s_high,academic,english,art,institution_num,num_per_10k
0,강남구,33,22,24,785,650,811,4,20.3,1227,188,249,2361,397.8
1,강동구,29,14,19,763,559,783,2,12.6,418,22,137,724,170.9
2,강북구,14,7,13,708,472,764,1,20.4,137,3,36,206,96.3
3,강서구,35,23,22,745,486,652,2,8.2,429,30,153,694,134.1
4,관악구,22,17,16,655,445,540,0,6.9,223,13,94,431,140.3
5,광진구,22,9,12,648,611,820,2,20.6,237,23,66,405,139.8
6,구로구,26,14,14,699,573,656,2,19.4,224,17,91,394,111.3
7,금천구,18,6,9,463,453,681,1,20.2,118,7,46,212,128.5
8,노원구,42,25,26,615,585,801,0,9.4,469,33,132,718,117.6
9,도봉구,23,10,13,632,507,653,2,16.1,205,12,57,297,107.4
10,동대문구,21,11,15,627,431,629,2,28.3,196,16,80,350,131.9
11,동작구,21,7,16,741,482,843,0,10.5,222,22,75,471,161.5
12,마포구,22,9,14,653,534,664,0,37.5,265,36,166,689,247.7
13,서초구,24,11,16,945,694,891,2,25.9,566,80,128,1148,263.4
14,성동구,21,9,11,523,442,510,1,25.2,149,15,60,289,141.3
15,성북구,29,13,18,693,529,636,1,20.2,278,20,106,439,115.9
16,송파구,40,19,29,784,582,765,1,17.7,626,53,225,1076,172.9
17,양천구,30,15,19,800,830,823,1,15.6,704,56,146,1008,193.4
18,영등포구,23,9,12,589,538,652,1,21.8,195,24,68,445,175.7
19,용산구,15,10,9,458,390,547,0,11.4,68,25,28,154,97.1
20,은평구,30,18,18,658,569,703,1,6.8,350,18,91,519,119.9
21,중구,12,11,8,416,231,612,2,12.3,34,8,8,109,80.3
22,중랑구,23,10,14,633,475,615,0,17.7,162,6,53,262,95.8
23,서대문구,19,7,14,684,433,728,2,15.1,204,15,52,348,144.1
24,종로구,13,14,9,399,310,605,3,22.6,67,5,14,243,147.7
