구,stud_per_elementary,stud_per_middle,stud_per_high,인구당대형마트수,인구당백화점수,인구당쇼핑센터수,인구당합계쇼핑수,인구당병원수
종로구,399,310,605,0.0,0.0,0.0,0.0,6.484453522679376
중구,416,231,612,1.5153237110277682,2.2729855665416525,6.061294844111073,9.849604121680494,8.334280410652726
용산구,458,390,547,0.8399091218330177,0.41995456091650885,1.2598636827495264,2.519727365499053,1.2598636827495264
성동구,523,442,510,0.6806100988926473,0.0,0.0,0.6806100988926473,3.7433555439095603
광진구,648,611,820,0.5665674229397484,0.2832837114698742,0.0,0.8498511344096226,3.6826882491083643
동대문구,627,431,629,0.5683368191324907,0.28416840956624534,0.0,0.8525052286987361,8.809220696553606
중랑구,633,475,615,1.5275960221399585,0.0,0.0,1.5275960221399585,5.0919867404665276
성북구,693,529,636,0.6792432324732605,0.22641441082442018,0.0,0.9056576432976807,3.3962161623663025
강북구,708,472,764,0.3293449657975253,0.3293449657975253,0.6586899315950506,1.3173798631901013,5.59886441855793
도봉구,632,507,653,0.624324948649273,0.0,0.0,0.624324948649273,5.618924537843457
노원구,615,585,801,0.3874782527830625,0.3874782527830625,0.19373912639153126,0.9686956319576564,4.262260780613688
은평구,658,569,703,0.41906757464641176,0.0,0.8381351492928235,1.2572027239392354,5.0288108957569415
서대문구,684,433,728,0.0,0.31542656711804207,0.0,0.31542656711804207,4.415971939652589
마포구,653,534,664,0.7901598756815129,0.0,0.263386625227171,1.053546500908684,3.4240261279532227
양천구,800,830,823,0.22131532121705721,0.22131532121705721,0.22131532121705721,0.6639459636511716,3.5410451394729154
강서구,745,486,652,0.5165796230001911,0.17219320766673038,0.17219320766673038,0.8609660383336519,6.198955476002293
구로구,699,573,656,0.7109072123906388,0.4739381415937592,0.2369690707968796,1.4218144247812776,4.9763504867344714
금천구,463,453,681,1.224929770693147,0.0,2.8581694649506764,4.0830992356438225,5.716338929901353
영등포구,589,538,652,1.2447843535585896,0.7468706121351537,0.4979137414234358,2.4895687071171793,7.717662992063255
동작구,741,482,843,0.0,0.2531498165929579,0.0,0.2531498165929579,3.2909476157084523
관악구,655,445,540,0.19947975679428048,0.19947975679428048,0.19947975679428048,0.5984392703828415,3.79011537909133
서초구,945,694,891,0.9547861040430418,0.4773930520215209,0.0,1.4321791560645627,6.683502728301292
강남구,785,650,811,0.185651031755609,1.1139061905336538,0.5569530952668269,1.8565103175560898,12.995572222892628
송파구,784,582,765,0.6016295135374161,0.30081475676870806,0.4512221351530621,1.353666405459186,6.166702513758515
강동구,763,559,783,0.6415904599775871,0.2138634866591957,0.0,0.8554539466367828,7.0574950597534585
