k-아파트명,주소(시도)k-apt주소split,주소(시군구),주소(읍면동),k-전체동수,주차대수,k-전체세대수,k-건설사(시공사),좌표X,좌표Y,전체주소
우리유앤미,서울,동작구,흑석동,2.0,223.0,206.0,우리건설,126.9596386,37.5006676,서울동작구흑석동
송파파인타운13단지,서울,송파구,장지동,4.0,225.0,197.0,양우건설(주),127.1291789,37.4768967,서울송파구장지동
오금현대백조(임대),서울,송파구,오금동,1.0,60.0,153.0,현대건설,127.1287745,37.5089058,서울송파구오금동
개봉건영,서울,구로구,개봉동,2.0,0.0,209.0,건영종합건설,126.8406749,37.5011622,서울구로구개봉동
월계동원베네스트,서울,노원구,월계동,5.0,206.0,205.0,(주)동원건설,127.0582196,37.631732,서울노원구월계동
양재우성KBS(113동),서울,서초구,양재동,1.0,137.0,150.0,우성건설,127.0290739,37.4775008,서울서초구양재동
천호삼익,서울,강동구,천호동,1.0,152.0,150.0,삼익건설(주),127.1284727,37.5485886,서울강동구천호동
자양경남아너스빌,서울,광진구,자양동,1.0,132.0,150.0,대아건설,127.083991,37.5294321,서울광진구자양동
신사성원,서울,은평구,신사동,1.0,164.0,150.0,성원건설,126.9133122,37.6004574,서울은평구신사동
신월대방샤인힐,서울,양천구,신월동,3.0,149.0,150.0,대방건설,126.8384999,37.5204711,서울양천구신월동
문정3차푸르지오,서울,송파구,문정동,2.0,193.0,150.0,(주)대우건설,127.1332779,37.4871243,서울송파구문정동
잠원한신그린,서울,서초구,잠원동,1.0,136.0,150.0,한신공영(주),127.0078749,37.5133709,서울서초구잠원동
천호e-편한세상,서울,강동구,천호동,2.0,198.0,150.0,,127.1243522,37.5443727,서울강동구천호동
경희궁의아침3단지,서울,종로구,내수동,1.0,315.0,150.0,쌍용건설,126.9720155,37.5736451,서울종로구내수동
성내2차e-편한세상,서울,강동구,성내동,2.0,184.0,151.0,(주)삼호,127.1264298,37.53436,서울강동구성내동
사당유니드,서울,동작구,사당동,5.0,0.0,151.0,대성산업(주),126.9752458,37.493362,서울동작구사당동
신내다우훼밀리,서울,중랑구,신내동,1.0,161.0,152.0,다우종합건설,127.0971514,37.6060585,서울중랑구신내동
명일삼익그린11차,서울,강동구,명일동,1.0,180.0,152.0,삼익주택,127.1504982,37.5518066,서울강동구명일동
공릉대동1차,서울,노원구,공릉동,1.0,156.0,152.0,(주)대동,127.072532,37.6198604,서울노원구공릉동
오류동선,서울,구로구,오류동,1.0,122.0,152.0,동선건설,126.8394712,37.4936836,서울구로구오류동
여의도초원,서울,영등포구,여의도동,1.0,92.0,153.0,순복음,126.9231927,37.5309637,서울영등포구여의도동
목동금강에스쁘아,서울,양천구,목동,1.0,159.0,153.0,(주)금강종합건설,126.8714021,37.5380526,서울양천구목동
방학신동아5단지,서울,도봉구,방학동,1.0,196.0,153.0,신동아건설(주),127.0285219,37.6636195,서울도봉구방학동
공릉신원,서울,노원구,공릉동,1.0,154.0,153.0,신원종합개발,127.0751067,37.6277644,서울노원구공릉동
신정학마을3단지,서울,양천구,신정동,3.0,211.0,153.0,태영건설,126.8472095,37.5115753,서울양천구신정동
신내우남푸르미아,서울,중랑구,신내동,3.0,186.0,153.0,(주)우남건설,127.0987566,37.6061739,서울중랑구신내동
엠브이아파트,서울,서초구,반포동,1.0,146.0,154.0,한보철강,127.0102751,37.4992014,서울서초구반포동
쌍문동북한산월드메르디앙,서울,도봉구,쌍문동,4.0,1.0,154.0,월드건설,127.0139503,37.653846,서울도봉구쌍문동
독산진도2차,서울,금천구,독산동,1.0,139.0,154.0,진도건설,126.8922168,37.4700234,서울금천구독산동
독산계룡,서울,금천구,독산동,2.0,160.0,154.0,계룡건설,126.8927936,37.4671531,서울금천구독산동
목동대원칸타빌,서울,양천구,목동,1.0,202.0,154.0,(주)대원,126.8650937,37.5285923,서울양천구목동
신도림우성5차,서울,구로구,신도림동,1.0,136.0,154.0,우성건설(주),126.8837922,37.5127235,서울구로구신도림동
마곡서광2차아파트,서울,강서구,방화동,2.0,229.0,154.0,서광건설(주),126.8106819,37.5720228,서울강서구방화동
서초1차e편한세상,서울,서초구,서초동,2.0,0.0,154.0,대림,127.0067349,37.4812021,서울서초구서초동
목동성원,서울,양천구,목동,2.0,176.0,155.0,성원산업개발(주),126.8699072,37.5358469,서울양천구목동
북한산수자인,서울,은평구,불광동,2.0,151.0,155.0,한양,126.9321696,37.6216983,서울은평구불광동
브라운스톤쌍문,서울,도봉구,쌍문동,2.0,169.0,155.0,이수건설,127.0295935,37.6471154,서울도봉구쌍문동
유원목동,서울,양천구,신정동,2.0,0.0,156.0,유원건설(주),126.8736268,37.5217974,서울양천구신정동
천호현대,서울,강동구,천호동,2.0,100.0,156.0,현대건설,127.1329005,37.5383992,서울강동구천호동
중화극동,서울,중랑구,중화동,1.0,160.0,156.0,극동건설,127.0837949,37.6036519,서울중랑구중화동
신림현대성우,서울,관악구,신림동,1.0,167.0,156.0,성우종합건설(주),126.9372705,37.4837087,서울관악구신림동
평창롯데,서울,종로구,평창동,3.0,256.0,156.0,롯데건설,126.9756922,37.6091332,서울종로구평창동
문정세양청마루,서울,송파구,문정동,2.0,126.0,157.0,세양건설,127.1370266,37.4924314,서울송파구문정동
보라매갑을,서울,관악구,신림동,1.0,151.0,157.0,갑을건설,126.9219256,37.4891251,서울관악구신림동
성수두산위브,서울,성동구,성수동2가,3.0,247.0,157.0,두산건설,127.0584774,37.5372327,서울성동구성수동2가
신도림쌍용플래티넘노블,서울,구로구,구로동,2.0,258.0,155.0,남광토건(주),126.8912982,37.5009591,서울구로구구로동
대림갑을명가,서울,영등포구,대림동,2.0,181.0,157.0,갑을건설(주),126.9036771,37.4956182,서울영등포구대림동
공릉1동삼익,서울,노원구,공릉동,1.0,144.0,158.0,삼익건설주식회사,127.0723375,37.6181002,서울노원구공릉동
자양한강극동,서울,광진구,자양동,2.0,160.0,158.0,극동건설주식회사,127.0644764,37.5336956,서울광진구자양동
청담삼성1차,서울,강남구,청담동,1.0,160.0,158.0,삼성건설,127.0478619,37.5194421,서울강남구청담동
창동현대타운(주복),서울,도봉구,창동,1.0,175.0,158.0,현대건설,127.0352336,37.6470839,서울도봉구창동
성수금호3차,서울,성동구,성수동1가,3.0,170.0,159.0,금호산업(주),127.0504009,37.5420274,서울성동구성수동1가
도봉서광,서울,도봉구,도봉동,3.0,90.0,159.0,융창건설(주),127.049861,37.6783964,서울도봉구도봉동
묵동세방,서울,중랑구,묵동,2.0,161.0,159.0,세방기업(주),127.0835522,37.6153547,서울중랑구묵동
서초2차e편한세상,서울,서초구,서초동,3.0,255.0,159.0,대림산업,127.0090583,37.4862357,서울서초구서초동
휘경서울가든,서울,동대문구,휘경동,1.0,157.0,160.0,삼익건설(주),127.0711253,37.5841565,서울동대문구휘경동
가락현대6차,서울,송파구,가락동,2.0,125.0,160.0,현대건설,127.1226268,37.4972327,서울송파구가락동
여의도화랑,서울,영등포구,여의도동,3.0,155.0,160.0,삼익주택,126.9355476,37.5221449,서울영등포구여의도동
문래진주,서울,영등포구,문래동5가,3.0,130.0,160.0,라이프주택,126.8847882,37.5171755,서울영등포구문래동5가
신길삼두,서울,영등포구,신길동,1.0,45.0,160.0,삼두실업(주),126.9238594,37.5143228,서울영등포구신길동
논현동부센트레빌,서울,강남구,논현동,4.0,239.0,160.0,동부건설,127.0376735,37.5103594,서울강남구논현동
응암경남,서울,은평구,응암동,2.0,130.0,160.0,경남기업,126.9203156,37.5833193,서울은평구응암동
서초현대4차,서울,서초구,서초동,3.0,1.0,160.0,현대산업개발,127.0178518,37.5003507,서울서초구서초동
방화진로,서울,강서구,방화동,2.0,166.0,160.0,주)진로건설,126.8084237,37.5770526,서울강서구방화동
잠원킴스빌리지,서울,서초구,잠원동,1.0,138.0,160.0,시대종합건설(주),127.0067114,37.5109145,서울서초구잠원동
강서월드메르디앙,서울,강서구,내발산동,3.0,247.0,160.0,월드건설,126.843127,37.5568955,서울강서구내발산동
마포경남아너스빌,서울,마포구,신수동,2.0,182.0,160.0,경남기업(주),126.934029,37.5487707,서울마포구신수동
방배브라운가,서울,서초구,방배동,2.0,218.0,161.0,흥화공업(주),126.9919326,37.4835259,서울서초구방배동
면목신성미소지움,서울,중랑구,면목동,2.0,178.0,161.0,신성건설,127.0961012,37.587218,서울중랑구면목동
서초3차e편한세상,서울,서초구,서초동,2.0,182.0,77.0,대림산업,127.0077138,37.4785869,서울서초구서초동
길동우성1차,서울,강동구,길동,2.0,64.0,162.0,우성건설,127.1445299,37.5432755,서울강동구길동
가락우성2차아파트,서울,송파구,가락동,2.0,156.0,162.0,우성건설,127.1255185,37.4918819,서울송파구가락동
상도동원베네스트,서울,동작구,상도동,4.0,185.0,162.0,동원시스템즈(주)/건설,126.9444312,37.5029264,서울동작구상도동
고척경남1차,서울,구로구,고척동,1.0,136.0,163.0,경남건설,126.8627712,37.5052906,서울구로구고척동
묵동동구햇살,서울,중랑구,묵동,3.0,185.0,163.0,동구건설,127.0747746,37.613353,서울중랑구묵동
대방경남아너스빌,서울,동작구,대방동,2.0,188.0,163.0,경남기업,126.9256082,37.5116136,서울동작구대방동
염창2차한화꿈에그린,서울,강서구,염창동,3.0,182.0,163.0,한화건설,126.8668736,37.5515337,서울강서구염창동
가양중앙하이츠,서울,강서구,가양동,3.0,324.0,164.0,중앙건설(주),126.8492901,37.5698077,서울강서구가양동
보라매두산위브,서울,영등포구,신길동,2.0,253.0,164.0,두산건설(주),126.9144293,37.4972694,서울영등포구신길동
용마산금호어울림,서울,중랑구,면목동,3.0,201.0,165.0,금호건설,127.091721,37.5770579,서울중랑구면목동
양평서통한신,서울,영등포구,양평동1가,2.0,208.0,165.0,한신공영(주),126.8878466,37.5216885,서울영등포구양평동1가
대망드림힐,서울,노원구,상계동,1.0,193.0,165.0,(주)대망종합건설,127.0584516,37.6763152,서울노원구상계동
고척양우,서울,구로구,고척동,1.0,169.0,165.0,양우종합건설,126.8566086,37.504745,서울구로구고척동
동양엔파트,서울,마포구,대흥동,3.0,196.0,165.0,동양메이저(주),126.9406061,37.5479468,서울마포구대흥동
문정푸르지오2차,서울,송파구,문정동,2.0,188.0,165.0,(주)대우,127.1270852,37.4867371,서울송파구문정동
아남,서울,서초구,서초동,2.0,0.0,166.0,아남건설주식회사,127.020739,37.4929518,서울서초구서초동
문래현대3차,서울,영등포구,문래동5가,2.0,102.0,166.0,현대건설(주),126.8844422,37.5161019,서울영등포구문래동5가
구로금호어울림,서울,구로구,구로동,1.0,121.0,166.0,금호건설,126.8919875,37.5000583,서울구로구구로동
잠원신화,서울,서초구,잠원동,1.0,167.0,166.0,신화건설,127.0136875,37.5157083,서울서초구잠원동
송파현대힐스테이트,서울,송파구,풍납동,2.0,226.0,166.0,현대건설(주),127.1184957,37.5311152,서울송파구풍납동
염창 일신건영휴먼빌아파트,서울,강서구,염창동,3.0,187.0,166.0,일신건영(주),126.8731713,37.5520432,서울강서구염창동
신이문금호어울림,서울,동대문구,이문동,4.0,186.0,166.0,금호산업,127.063182,37.6041205,서울동대문구이문동
뉴신사신성,서울,은평구,신사동,2.0,137.0,167.0,신성건설,126.9062236,37.5935011,서울은평구신사동
중계성원2차,서울,노원구,중계동,1.0,127.0,167.0,(주)성원,127.0752242,37.6611671,서울노원구중계동
방학극동,서울,도봉구,방학동,2.0,139.0,167.0,극동건설,127.0268136,37.6645017,서울도봉구방학동
번동동문아파트,서울,강북구,번동,3.0,200.0,167.0,동문건설,127.0382004,37.6239797,서울강북구번동
삼성청구타운,서울,강남구,삼성동,3.0,0.0,167.0,청구,127.0583783,37.5197827,서울강남구삼성동
당산신동아파밀리에,서울,영등포구,당산동1가,4.0,171.0,167.0,신동아건설,126.9003963,37.519805,서울영등포구당산동1가
반포삼호가든맨션5차,서울,서초구,반포동,3.0,252.0,168.0,삼호,127.0115013,37.5039415,서울서초구반포동
한양현대아파트,서울,성동구,성수동1가,1.0,168.0,168.0,현대건설(주),127.0479977,37.5455297,서울성동구성수동1가
등촌임광,서울,강서구,등촌동,3.0,198.0,168.0,임광토건,126.8633551,37.5404837,서울강서구등촌동
잠원동대우아이빌,서울,서초구,잠원동,3.0,168.0,168.0,(주)대우,127.0183736,37.5113932,서울서초구잠원동
면목성원,서울,중랑구,면목동,2.0,168.0,168.0,성원건설(주),127.0907522,37.5774892,서울중랑구면목동
염창월드메르디앙,서울,강서구,염창동,5.0,189.0,168.0,월드건설(주),126.8727626,37.5528637,서울강서구염창동
대우디오빌플러스,서울,강남구,역삼동,1.0,0.0,168.0,대우건설,127.0311179,37.4975858,서울강남구역삼동
신월2차보람쉬움,서울,양천구,신월동,3.0,171.0,169.0,보람건설(주),126.8369039,37.5243291,서울양천구신월동
정릉2차대주피오레,서울,성북구,정릉동,4.0,180.0,169.0,대주건설,127.008977,37.6018169,서울성북구정릉동
신금호두산위브,서울,성동구,금호동1가,5.0,200.0,169.0,두산건설,127.0223133,37.5559626,서울성동구금호동1가
신월성원,서울,양천구,신월동,1.0,145.0,170.0,성원건설,126.8339527,37.5282122,서울양천구신월동
