,mart_store,addr_gu
0,강변점,광진구
1,VIC금천점,금천구
2,김포공항점,강서구
3,삼양점,강북구
4,서울역점,중구
5,송파점,송파구
6,잠실정,송파구
7,서초점,서초구
8,중계점,노원구
9,청량리점,동대문구
10,행당역점,성동구
11,월드타워점,송파구
12,은평점,은평구
13,양평점,영등포구
14,금천점,금천구
15,가든5점,송파구
16,구로점,구로구
17,명일점,강동구
18,묵동점,중랑구
19,상봉점,중랑구
20,수색점,은평구
21,신도림점,구로구
22,가양점,강서구
23,마포점,마포구
24,목동점,양천구
25,미아점,성북구
26,성수점,성동구
27,수서점,강남구
28,신월점,양천구
29,신촌점,마포구
30,여의도점,영등포구
31,영등포점,영등포구
32,용산점,용산구
33,은평점,은평구
34,자양점,광진구
35,천호점,강동구
36,하월곡점,성북구
37,양재점,서초구
38,역삼점,강남구
39,왕십리점,성동구
40,월계점,노원구
41,이수점,동작구
42,창동점,도봉구
43,청계천점,중구
44,가양점,강서구
45,강동점,강동구
46,강서점,강서구
47,금천점,금천구
48,동대문점,동대문구
49,면목점,중랑구
50,목동점,양천구
51,방학점,도봉구
52,서울남현점,관악구
53,서울상봉점,중랑구
54,시흥점,금천구
55,신내점,중랑구
56,신도림점,구로구
57,영등포점,영등포구
58,월곡점,성북구
59,월드컵점,마포구
60,잠실점,송파구
61,중계점,노원구
62,합정점,마포구
